City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Mount Gambier,AU,-37.8333,140.7667,74.16,53,10,11.43,clear sky
327,Soyo,AO,-6.1349,12.3689,78.21,85,100,3.96,light rain
328,Desaguadero,PE,-16.5656,-69.0417,46.24,82,86,5.39,overcast clouds
329,Svetlyy,RU,54.675,20.1347,35.65,75,95,17.98,overcast clouds
330,Inhambane,MZ,-23.865,35.3833,78.78,89,20,4.61,few clouds
331,Krasnoborsk,RU,61.5598,45.934,18.72,92,100,9.08,light snow
332,Hasaki,JP,35.7333,140.8333,46.29,55,100,24.63,overcast clouds
333,Kloulklubed,PW,7.0419,134.2556,82.9,79,98,18.19,overcast clouds
334,Alakurtti,RU,66.9672,30.3491,17.64,97,100,1.32,light snow
335,Rawson,AR,-43.3002,-65.1023,62.64,84,37,35.1,scattered clouds
336,Tel Aviv-Yafo,IL,32.0805,34.7805,56.7,86,75,2.3,broken clouds
337,Fatehabad,IN,29.5167,75.45,66.78,44,0,6.49,clear sky
338,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.25,99,100,1.81,heavy intensity rain
339,Vestmannaeyjar,IS,63.4427,-20.2734,34.57,85,100,31.7,snow
340,Sur,OM,22.5667,59.5289,71.51,66,2,16.24,clear sky
341,Tecoanapa,MX,16.5167,-98.75,77.77,72,45,4.03,scattered clouds
342,Qaqortoq,GL,60.7167,-46.0333,21.7,84,100,15.3,light snow
343,Havre-Saint-Pierre,CA,50.2334,-63.5986,-6.2,89,5,8.08,clear sky
344,Leshukonskoye,RU,64.8989,45.7622,9.05,87,96,9.19,overcast clouds
