City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Pangnirtung,CA,2022-02-13 14:55:56,66.1451,-65.7125,-22.0,76,20,4.61
226,Port Keats,AU,2022-02-13 14:55:56,-14.25,129.55,76.17,84,97,8.55
227,Mweka,CD,2022-02-13 14:55:56,-4.85,21.5667,73.33,86,100,2.68
228,Aksu,CN,2022-02-13 14:55:57,41.1231,80.2644,32.02,38,10,3.91
229,Mawlaik,MM,2022-02-13 14:55:57,23.6333,94.4167,60.21,46,0,0.83
230,Kemise,ET,2022-02-13 14:55:57,10.7167,39.8667,75.96,43,98,9.37
231,Saint-Augustin,CA,2022-02-13 14:55:58,51.226,-58.6502,2.5,78,10,16.75
232,Almaznyy,RU,2022-02-13 14:55:58,48.0448,40.045,35.74,84,2,5.37
233,Galle,LK,2022-02-13 14:55:58,6.0367,80.217,76.12,87,100,9.84
234,Mehamn,NO,2022-02-13 14:55:59,71.0357,27.8492,17.42,80,95,13.82
235,La Asuncion,VE,2022-02-13 14:55:59,11.0333,-63.8628,78.53,78,9,11.5
236,Katsuura,JP,2022-02-13 14:55:59,35.1333,140.3,38.1,98,100,30.91
237,Alihe,CN,2022-02-13 14:56:00,50.5667,123.7167,-2.06,98,97,2.37
238,Qaanaaq,GL,2022-02-13 14:56:00,77.484,-69.3632,-0.8,96,100,2.68
239,Tura,IN,2022-02-13 14:56:00,25.5198,90.2201,57.29,66,0,4.12
240,Souillac,MU,2022-02-13 14:52:16,-20.5167,57.5167,82.78,78,40,6.91
241,Baracoa,CU,2022-02-13 14:56:01,20.3467,-74.4958,80.92,65,44,7.05
242,Carnarvon,AU,2022-02-13 14:56:01,-24.8667,113.6333,80.67,89,33,6.91
243,San Patricio,US,2022-02-13 14:52:14,28.017,-97.5169,45.88,33,0,10.78
244,Kabinda,CD,2022-02-13 14:56:01,-6.1333,24.4833,70.23,90,100,3.94
245,Beira,MZ,2022-02-13 14:56:02,-19.8436,34.8389,82.99,63,12,9.71
246,Markapur,IN,2022-02-13 14:56:02,15.7333,79.2833,74.37,58,5,7.49
247,Karratha,AU,2022-02-13 14:56:02,-20.7377,116.8463,87.33,63,3,9.75
248,Henties Bay,NA,2022-02-13 14:56:03,-22.116,14.2845,74.05,75,14,9.37
249,Halifax,CA,2022-02-13 14:53:51,44.6453,-63.5724,37.4,65,100,6.91
250,Ouadda,CF,2022-02-13 14:56:03,8.0777,22.4007,95.67,11,89,8.41
251,Sibut,CF,2022-02-13 14:56:04,5.718,19.0739,101.43,11,53,5.26
252,Belaya Gora,RU,2022-02-13 14:56:04,68.5333,146.4167,-14.42,96,94,6.44
253,Adrar,MR,2022-02-13 14:56:04,20.5022,-10.0711,77.09,13,53,12.19
254,Norman Wells,CA,2022-02-13 14:56:04,65.282,-126.8329,-12.96,64,100,4.61
255,Roald,NO,2022-02-13 14:56:05,62.5833,6.1333,44.11,87,75,9.22
256,Kruisfontein,ZA,2022-02-13 14:51:49,-34.0033,24.7314,76.69,54,44,11.95
257,Dumai,ID,2022-02-13 14:56:05,1.6833,101.45,74.03,96,92,2.64
258,Hasaki,JP,2022-02-13 14:56:06,35.7333,140.8333,37.8,98,100,33.58
259,Huinan,CN,2022-02-13 14:56:06,42.6225,126.2614,9.3,89,100,5.01
260,Tiksi,RU,2022-02-13 14:56:06,71.6872,128.8694,-12.46,93,100,11.39
261,Aksay,RU,2022-02-13 14:56:06,47.26,39.87,41.25,43,0,5.99
262,Taos,US,2022-02-13 14:51:11,36.4072,-105.5731,26.26,74,0,9.22
263,Bengkulu,ID,2022-02-13 14:56:07,-3.8004,102.2655,77.92,86,100,3.56
264,Castro,BR,2022-02-13 14:56:07,-24.7911,-50.0119,78.78,55,4,3.2
265,Tiznit,MA,2022-02-13 14:56:08,29.5833,-9.5,68.16,33,2,13.56
266,Grand Gaube,MU,2022-02-13 14:56:08,-20.0064,57.6608,82.8,75,100,8.01
267,Rocha,UY,2022-02-13 14:56:08,-34.4833,-54.3333,69.17,47,0,16.84
268,Port Hardy,CA,2022-02-13 14:52:10,50.6996,-127.4199,41.76,93,75,5.75
269,Los Llanos De Aridane,ES,2022-02-13 14:56:09,28.6585,-17.9182,66.13,69,20,11.5
